Date Time, global CTA_Version, , , global CTA_Timer, , , IO A_VDR, , , global A_VIUInput_1, , , global A_VIUInput_5, , , global A_VIUInput_14, , , global A_VIUInput_15, , , global A_OSUTaco_R1, , , global A_OSUTaco_S1, , , global A_OSUTaco_T1, , , global A_OSUTaco_R2, , , global A_OSUTaco_S2, , , IO Tach1MovingDir, , , IO Tach2MovingDir, , , IO dopplerMovingDir, , , global A_CPUTemp, , , global A_CPUCTemp, , , Event Name, 
, Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , 
16/10/2018 15:34:31, 12, 0,  , 37985, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 237, 0,  , 236, 0,  , 44, 0,  , 236, 0,  , 235, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:31, 12, 0,  , 37993, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 226, 0,  , 226, 0,  , 43, 0,  , 226, 0,  , 225, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:31, 12, 0,  , 38001, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 213, 0,  , 212, 0,  , 40, 0,  , 212, 0,  , 212, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:31, 12, 0,  , 38009, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 197, 0,  , 197, 0,  , 37, 0,  , 198, 0,  , 197, 0,  , 2, 0,  , 1, 0,  , 1, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:32, 12, 0,  , 38017, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 181, 0,  , 182, 0,  , 35, 0,  , 181, 0,  , 180, 0,  , 2, 0,  , 1, 0,  , 1, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:32, 12, 0,  , 38025, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 165, 0,  , 165, 0,  , 32, 0,  , 165, 0,  , 165, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:32, 12, 0,  , 38033, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 150, 0,  , 150, 0,  , 29, 0,  , 149, 0,  , 149, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:32, 12, 0,  , 38041, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 136, 0,  , 137, 0,  , 27, 0,  , 135, 0,  , 136, 0,  , 0, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:33, 12, 0,  , 38049, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 125, 0,  , 126, 0,  , 25, 0,  , 125, 0,  , 125, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:33, 12, 0,  , 38057, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 117, 0,  , 117, 0,  , 22, 0,  , 117, 0,  , 117, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:33, 12, 0,  , 38065, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 111, 0,  , 111, 0,  , 21, 0,  , 111, 0,  , 112, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:33, 12, 0,  , 38073, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 108, 0,  , 108, 0,  , 20, 0,  , 108, 0,  , 107, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
